Date,Open,High,Low,Close,Adj Close,Volume,Daily Return,Rolling Mean,Rolling Std
2015-01-02,206.3800048828125,206.8800048828125,204.17999267578125,205.42999267578125,169.68783569335938,121465900,0.0,,
2015-01-05,204.1699981689453,204.3699951171875,201.35000610351562,201.72000122070312,166.62335205078125,169632600,-0.01805953638371527,,
2015-01-06,202.08999633789062,202.72000122070312,198.86000061035156,199.82000732421875,165.05389404296875,209151400,-0.009419195980009953,,
2015-01-07,201.4199981689453,202.72000122070312,200.8800048828125,202.30999755859375,167.1107177734375,125346700,0.012461528050548676,,
2015-01-08,204.00999450683594,206.16000366210938,203.99000549316406,205.89999389648438,170.07608032226562,147217800,0.017744897444869068,,
2015-01-09,206.39999389648438,206.4199981689453,203.50999450683594,204.25,168.71316528320312,158567300,-0.008013560969185152,,
2015-01-12,204.41000366210938,204.60000610351562,201.9199981689453,202.64999389648438,167.3914794921875,144396100,-0.007833922081878053,,
2015-01-13,204.1199951171875,205.47999572753906,200.50999450683594,202.0800018310547,166.92071533203125,214553300,-0.0028123543777999194,,
2015-01-14,199.64999389648438,201.10000610351562,198.57000732421875,200.86000061035156,165.9129638671875,192991100,-0.00603730617161069,,
2015-01-15,201.6300048828125,202.00999450683594,198.8800048828125,199.02000427246094,164.39308166503906,176613900,-0.009160719974631415,,
2015-01-16,198.77000427246094,201.82000732421875,198.5500030517578,201.6300048828125,166.54904174804688,211879600,0.013114664322679381,,
2015-01-20,202.39999389648438,202.72000122070312,200.1699981689453,202.05999755859375,166.90420532226562,130991100,0.002132486446580817,,
2015-01-21,201.5,203.66000366210938,200.94000244140625,203.0800018310547,167.7467041015625,122942700,0.005047798392318281,,
2015-01-22,203.99000549316406,206.25999450683594,202.3300018310547,206.10000610351562,170.24127197265625,174356000,0.014871039550102827,,
2015-01-23,205.7899932861328,206.10000610351562,204.80999755859375,204.97000122070312,169.30789184570312,117516800,-0.00548269004418056,,
2015-01-26,204.7100067138672,205.55999755859375,203.85000610351562,205.4499969482422,169.70437622070312,92009700,0.0023417950024522405,,
2015-01-27,202.97000122070312,204.1199951171875,201.74000549316406,202.74000549316406,167.4658966064453,134044600,-0.013190464878446218,,
2015-01-28,204.1699981689453,204.2899932861328,199.91000366210938,200.13999938964844,165.3182373046875,168514300,-0.012824457667371725,,
2015-01-29,200.3800048828125,202.3000030517578,198.67999267578125,201.99000549316406,166.8463897705078,173585400,0.009243701667371873,,
2015-01-30,200.57000732421875,202.1699981689453,199.1300048828125,199.4499969482422,164.74826049804688,197729700,-0.012575215294420516,,
2015-02-02,200.0500030517578,202.02999877929688,197.86000061035156,201.9199981689453,166.78854370117188,163107000,0.012384247317434927,,
