Date,Open,High,Low,Close,Adj Close,Volume,Daily Return,Rolling Mean,Rolling Std
2015-01-02,14.857999801635742,14.883333206176758,14.21733283996582,14.620667457580566,14.620667457580566,71466000,0.0,,
2015-01-05,14.303333282470703,14.433333396911621,13.810667037963867,14.005999565124512,14.005999565124512,80527500,-0.04204102817052724,,
2015-01-06,14.003999710083008,14.279999732971191,13.61400032043457,14.085332870483398,14.085332870483398,93928500,0.005664237314159992,,
2015-01-07,14.223333358764648,14.3186674118042,13.985333442687988,14.063332557678223,14.063332557678223,44526000,-0.0015619306272327549,,
2015-01-08,14.187333106994629,14.25333309173584,14.000666618347168,14.041333198547363,14.041333198547363,51637500,-0.0015643062581811584,,
2015-01-09,13.928000450134277,13.998666763305664,13.663999557495117,13.77733325958252,13.77733325958252,70024500,-0.018801629106854012,,
2015-01-12,13.536666870117188,13.631333351135254,13.283332824707031,13.480667114257812,13.480667114257812,89254500,-0.021532914950603166,,
2015-01-13,13.554667472839355,13.840666770935059,13.394000053405762,13.616666793823242,13.616666793823242,67159500,0.010088497728839352,,
2015-01-14,12.388667106628418,13.013333320617676,12.333333015441895,12.845999717712402,12.845999717712402,173278500,-0.05659733676235856,,
2015-01-15,12.965999603271484,13.050000190734863,12.666666984558105,12.791333198547363,12.791333198547363,78247500,-0.004255528597720826,,
2015-01-16,12.713333129882812,12.965999603271484,12.643333435058594,12.871333122253418,12.871333122253418,54048000,0.006254228739435819,,
2015-01-20,12.924667358398438,12.941332817077637,12.469332695007324,12.795332908630371,12.795332908630371,67548000,-0.00590461088227523,,
2015-01-21,12.636667251586914,13.245332717895508,12.633999824523926,13.104666709899902,13.104666709899902,62295000,0.024175518017267583,,
2015-01-22,13.133333206176758,13.549332618713379,13.013333320617676,13.441332817077637,13.441332817077637,61753500,0.02569055090301542,,
2015-01-23,13.352666854858398,13.566666603088379,13.222000122070312,13.419333457946777,13.419333457946777,51579000,-0.0016366947705445112,,
2015-01-26,13.45533275604248,13.907999992370605,13.403332710266113,13.770000457763672,13.770000457763672,48517500,0.02613147671721605,,
2015-01-27,13.628000259399414,13.868666648864746,13.553333282470703,13.732000350952148,13.732000350952148,41715000,-0.0027596300325537504,,
2015-01-28,13.740667343139648,13.758000373840332,13.227999687194824,13.291333198547363,13.291333198547363,47244000,-0.03209052877530916,,
2015-01-29,13.404666900634766,13.732000350952148,13.100000381469727,13.680000305175781,13.680000305175781,53221500,0.02924214605280495,,
2015-01-30,13.597332954406738,13.83133316040039,13.533332824707031,13.573332786560059,13.573332786560059,45105000,-0.007797333058199185,,
2015-02-02,13.597999572753906,14.130000114440918,13.553333282470703,14.062666893005371,14.062666893005371,62238000,0.0360511389604945,,
2015-02-03,14.214667320251465,14.691332817077637,14.084667205810547,14.557332992553711,14.557332992553711,72393000,0.0351758385028933,,
2015-02-04,14.552666664123535,14.76533317565918,14.453332901000977,14.569999694824219,14.569999694824219,49581000,0.0008701251992371262,,
2015-02-05,14.658666610717773,15.031999588012695,14.642666816711426,14.732666969299316,14.732666969299316,52843500,0.011164535201252157,,
2015-02-06,14.800000190734863,14.893333435058594,14.433333396911621,14.490667343139648,14.490667343139648,48658500,-0.016426056915829212,,
2015-02-09,14.358667373657227,14.528667449951172,14.13266658782959,14.498666763305664,14.498666763305664,52086000,0.0005520394593698796,,
2015-02-10,14.50333309173584,14.699999809265137,14.333333015441895,14.419333457946777,14.419333457946777,80857500,-0.005471765552931385,,
2015-02-11,14.147333145141602,14.315999984741211,13.8186674118042,14.186667442321777,14.186667442321777,146536500,-0.016135698387415576,,
2015-02-12,12.904666900634766,13.53933334350586,12.885333061218262,13.525333404541016,13.525333404541016,234744000,-0.04661658846022321,,
2015-02-13,13.526666641235352,13.732666969299316,13.394000053405762,13.584667205810547,13.584667205810547,92865000,0.004386864226918918,13.787844467163087,0.5774004895179793
2015-02-17,13.713333129882812,13.713333129882812,13.433333396911621,13.623332977294922,13.623332977294922,59694000,0.0028462803614237586,13.754599984486898,0.5561152963330092
2015-02-18,13.611332893371582,13.744667053222656,13.506667137145996,13.630666732788086,13.630666732788086,40704000,0.0005383231478952588,13.742088890075683,0.5544840515377507
2015-02-19,13.666666984558105,14.162667274475098,13.583333015441895,14.11400032043457,14.11400032043457,77311500,0.035459277020091884,13.743044471740722,0.5551203232955758
2015-02-20,14.052000045776367,14.506667137145996,13.987333297729492,14.473999977111816,14.473999977111816,89731500,0.025506564298148016,13.756733385721843,0.5682000779411361
2015-02-23,14.37733268737793,14.546667098999023,13.755332946777344,13.822667121887207,13.822667121887207,127497000,-0.04500019733692018,13.749444516499837,0.5658208838147251
2015-02-24,13.81933307647705,13.81933307647705,13.446666717529297,13.607333183288574,13.607333183288574,99054000,-0.015578320500655551,13.743777847290039,0.5663829403694196
2015-02-25,13.662667274475098,13.809332847595215,13.505332946777344,13.583999633789062,13.583999633789062,58642500,-0.001714777553045277,13.747222264607748,0.5650402890260563
2015-02-26,13.600000381469727,14.072667121887207,13.481332778930664,13.812666893005371,13.812666893005371,97093500,0.016833573717678796,13.753755601247152,0.564611647193857
2015-02-27,13.793333053588867,13.903332710266113,13.520000457763672,13.555999755859375,13.555999755859375,58231500,-0.0185820116516362,13.777422269185385,0.5395747478631534
2015-03-02,13.513333320617676,13.555999755859375,13.055333137512207,13.155332565307617,13.155332565307617,118831500,-0.02955644716492234,13.789555581410726,0.5203875801576672
2015-03-03,13.120667457580566,13.349332809448242,13.021332740783691,13.303999900817871,13.303999900817871,66484500,0.011300918070464405,13.803977807362875,0.49964420410931437
2015-03-04,13.283332824707031,13.501333236694336,13.147333145141602,13.496000289916992,13.496000289916992,63330000,0.014431779204036044,13.827333386739095,0.4661214403392411
2015-03-05,13.523332595825195,13.746000289916992,13.34333324432373,13.375332832336426,13.375332832336426,73155000,-0.008940979178158281,13.836355590820313,0.4541161209368019
2015-03-06,13.280667304992676,13.383333206176758,12.8100004196167,12.925333023071289,12.925333023071289,100686000,-0.03364400833280279,13.819155597686768,0.47870032457884315
2015-03-09,12.959333419799805,12.965999603271484,12.550000190734863,12.725333213806152,12.725333213806152,101050500,-0.015473474370690798,13.796022256215414,0.5141447918037224
2015-03-10,12.564000129699707,12.899999618530273,12.506667137145996,12.687999725341797,12.687999725341797,83695500,-0.0029337926038629503,13.759955565134684,0.5525493814721193
2015-03-11,12.743332862854004,13.078666687011719,12.734000205993652,12.916000366210938,12.916000366210938,74623500,0.017969786081706296,13.732755565643311,0.5736542703433577
2015-03-12,12.916666984558105,12.963333129882812,12.649999618530273,12.73799991607666,12.73799991607666,62239500,-0.013781390917263936,13.714311122894287,0.5967664767883912
2015-03-13,12.596667289733887,12.783332824707031,12.48799991607666,12.578666687011719,12.578666687011719,81514500,-0.012508496633278132,13.677600002288818,0.6317970120326923
2015-03-16,12.800000190734863,13.060667037963867,12.653332710266113,13.046667098999023,13.046667098999023,84432000,0.037205883869277256,13.660044479370118,0.642028446373198
2015-03-17,13.028667449951172,13.247332572937012,12.929332733154297,12.982000350952148,12.982000350952148,73411500,-0.00495657224609003,13.624022261301677,0.648938822867169
2015-03-18,12.997332572937012,13.392000198364258,12.87399959564209,13.380666732788086,13.380666732788086,72313500,0.030709164308927006,13.584800052642823,0.6257279297919024
2015-03-19,13.466667175292969,13.63933277130127,12.968667030334473,13.043333053588867,13.043333053588867,127128000,-0.025210528438961433,13.533911164601644,0.6045632686965957
2015-03-20,13.16333293914795,13.265999794006348,13.041333198547363,13.20533275604248,13.20533275604248,64042500,0.012420115455768377,13.483000024159749,0.5630151463173092
2015-03-23,13.233332633972168,13.366666793823242,13.164667129516602,13.308667182922363,13.308667182922363,39474000,0.007825204316233458,13.443600018819174,0.5304852461683636
2015-03-24,13.438667297363281,13.586000442504883,13.316666603088379,13.447999954223633,13.447999954223633,54748500,0.010469325694766773,13.408577791849773,0.491692366968599
2015-03-25,13.218000411987305,13.239333152770996,12.846667289733887,12.953332901000977,12.953332901000977,85956000,-0.036783689389238594,13.359711106618246,0.4595748573091685
2015-03-26,12.928000450134277,12.986000061035156,12.646666526794434,12.694000244140625,12.694000244140625,61920000,-0.020020535165919506,13.30995553334554,0.44760312214871917
2015-03-27,12.604666709899902,12.619333267211914,12.09333324432373,12.333333015441895,12.333333015441895,129073500,-0.028412417028683246,13.270222187042236,0.47958853932782014
2015-03-30,12.390000343322754,12.816666603088379,12.119999885559082,12.704667091369629,12.704667091369629,151342500,0.030108169094502424,13.240888849894207,0.48655415408802233
2015-03-31,12.902000427246094,12.917332649230957,12.560667037963867,12.584667205810547,12.584667205810547,75399000,-0.009445338842494988,13.206266657511394,0.4952782516569926
2015-04-01,12.579999923706055,12.819999694824219,12.403332710266113,12.505999565124512,12.505999565124512,56919000,-0.0062510704017435526,13.168777751922608,0.5045247639554775
2015-04-02,12.682000160217285,12.881999969482422,12.666666984558105,12.733332633972168,12.733332633972168,75156000,0.018177920738268627,13.122755495707194,0.4775814496553906
2015-04-06,13.199999809265137,13.850000381469727,13.166666984558105,13.539999961853027,13.539999961853027,186837000,0.06335084074758979,13.091622161865235,0.4124606544375629
2015-04-07,13.500666618347168,13.670666694641113,13.409333229064941,13.550000190734863,13.550000190734863,65218500,0.0007385693434276419,13.082533264160157,0.3985661972554266
2015-04-08,13.880000114440918,14.0600004196167,13.724666595458984,13.844667434692383,13.844667434692383,94546500,0.02174665976455148,13.090444405873617,0.4114881046642126
